How old are you?,What gender do you identify as?,Does your gender identity align with your sex assigned at birth?,What species is your primary character?,Where in the world are you located?,What religion do you identify with?,"If we cannot observe something, it may as well not exist.","There is/are no God, gods, or deities.","There is no such thing as truth, only opinions.",Morality is a social construct.,"Sometimes, it is better for individuals to have rights taken away, in order to protect others within a society.","When in Rome, do as the Romans do.",People require a national identity to understand themselves.,The only things we can be said to know are things we have experienced.,Science is the surest path to knowledge.,Some races require different treatment than others.,It is impossible for us to know if other beings are self-aware.,"Without a belief in God, any action becomes permissible.","It is better to hold false but comforting beliefs, than to know something disturbing.",The ends can justify the means.,"Everything has a scientific, naturalistic explanation.","There is an objective reality, which exists independently from us.",The most important goal of life is to become happy.,"People posses free will, and are able to make choices as individual agents.","Certain things, such as racism, sexism, and homophobia, are always wrong, regardless of context.",The media positively contributes to liberal democracy.,We posses no knowledge at birth.,Our perceptions accurately represent reality.,Free market economics is the best way to distribute wealth.,Different societies ought to keep to themselves.
23,mostly_female,cisgender,cheetah,fl-us,atheist,slightly_disagree,agree,disagree,slightly_disagree,slightly_agree,dont_know,neutral,agree,agree,strongly_disagree,slightly_disagree,strongly_disagree,disagree,slightly_agree,strongly_agree,dont_know,slightly_agree,agree,strongly_agree,slightly_disagree,strongly_agree,neutral,disagree,disagree
24,somewhat_female,transgender,redfox,wa-us,pagan,disagree,dont_know,disagree,agree,slightly_disagree,disagree,strongly_disagree,slightly_agree,slightly_agree,strongly_disagree,agree,strongly_disagree,slightly_disagree,neutral,slightly_agree,strongly_agree,slightly_agree,strongly_agree,agree,neutral,agree,disagree,strongly_disagree,strongly_disagree
17,none,transgender,otherdog,tx-us,muslim,agree,slightly_agree,strongly_disagree,strongly_agree,slightly_agree,dont_know,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,disagree,slightly_agree,dont_know,agree,agree,strongly_disagree,slightly_agree,agree,agree,disagree,strongly_disagree,strongly_disagree
32,mostly_female,cisgender,otherprimate,wa-us,atheist,disagree,agree,disagree,agree,slightly_agree,neutral,strongly_disagree,slightly_disagree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,slightly_disagree,strongly_agree,agree,disagree,agree,disagree,neutral,disagree
26,somewhat_male,transgender,otherfox,fl-us,atheist,strongly_agree,strongly_agree,slightly_agree,slightly_agree,slightly_agree,agree,disagree,slightly_agree,strongly_agree,disagree,neutral,strongly_disagree,slightly_agree,slightly_agree,strongly_agree,slightly_disagree,agree,agree,slightly_agree,strongly_disagree,disagree,disagree,slightly_disagree,strongly_disagree
29,male,cisgender,wolf,il-us,christian_protestant,strongly_disagree,neutral,agree,strongly_agree,disagree,disagree,strongly_disagree,slightly_agree,slightly_agree,agree,slightly_agree,strongly_disagree,strongly_disagree,neutral,agree,slightly_agree,slightly_agree,slightly_disagree,strongly_agree,disagree,strongly_agree,slightly_disagree,strongly_disagree,disagree
24,somewhat_male,cisgender,domesticcat,ca-us,agnostic,neutral,slightly_agree,slightly_agree,agree,agree,slightly_agree,slightly_disagree,slightly_agree,agree,neutral,slightly_disagree,disagree,disagree,neutral,agree,dont_know,slightly_disagree,dont_know,slightly_disagree,neutral,strongly_disagree,dont_know,neutral,slightly_disagree
21,male,cisgender,dragon,ie,christian_protestant,disagree,disagree,slightly_disagree,slightly_disagree,slightly_disagree,disagree,strongly_disagree,disagree,slightly_agree,disagree,strongly_agree,disagree,slightly_disagree,slightly_disagree,neutral,agree,dont_know,strongly_agree,slightly_agree,dont_know,agree,slightly_agree,dont_know,slightly_disagree
23,mostly_male,cisgender,coyote,co-us,pagan,strongly_disagree,neutral,slightly_disagree,slightly_agree,slightly_disagree,slightly_agree,neutral,slightly_disagree,slightly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,slightly_disagree,dont_know,slightly_agree,slightly_disagree,agree,slightly_disagree,disagree,slightly_disagree,disagree,slightly_disagree,strongly_disagree
21,male,cisgender,otherfeline,de,atheist,slightly_disagree,agree,strongly_agree,strongly_agree,agree,dont_know,disagree,agree,agree,neutral,slightly_agree,disagree,disagree,disagree,slightly_agree,agree,agree,slightly_agree,agree,neutral,slightly_agree,slightly_disagree,slightly_disagree,slightly_agree
46,male,cisgender,riverotter,ca-us,atheist,disagree,strongly_agree,disagree,agree,strongly_agree,agree,strongly_disagree,slightly_disagree,strongly_agree,dont_know,strongly_disagree,strongly_disagree,strongly_disagree,slightly_agree,strongly_agree,agree,agree,neutral,slightly_disagree,slightly_agree,agree,disagree,disagree,strongly_disagree
26,male,cisgender,othermustelid,dk,agnostic,slightly_disagree,slightly_disagree,disagree,slightly_disagree,slightly_agree,agree,neutral,slightly_disagree,slightly_agree,strongly_disagree,slightly_disagree,slightly_disagree,disagree,slightly_agree,slightly_disagree,neutral,agree,agree,strongly_agree,slightly_agree,neutral,disagree,neutral,disagree
32,somewhat_male,cisgender,wolf,gb,pagan,agree,dont_know,strongly_disagree,strongly_agree,agree,agree,strongly_disagree,strongly_disagree,strongly_agree,disagree,agree,strongly_disagree,dont_know,slightly_agree,dont_know,dont_know,slightly_agree,dont_know,dont_know,disagree,dont_know,dont_know,neutral,dont_know
17,male,cisgender,hyaena,pl,atheist,slightly_disagree,slightly_agree,disagree,slightly_agree,agree,agree,disagree,slightly_agree,agree,disagree,agree,disagree,disagree,dont_know,neutral,agree,agree,dont_know,agree,disagree,slightly_agree,slightly_disagree,disagree,dont_know
61,male,cisgender,deer,ca-us,atheist,disagree,strongly_agree,disagree,slightly_agree,agree,slightly_agree,neutral,agree,neutral,agree,disagree,disagree,neutral,agree,slightly_disagree,agree,agree,agree,disagree,disagree,agree,disagree,slightly_disagree,slightly_agree
32,male,cisgender,dragon,ca,hindu,strongly_disagree,disagree,disagree,strongly_agree,strongly_agree,slightly_agree,agree,slightly_disagree,agree,agree,disagree,strongly_disagree,disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,agree,neutral,disagree
26,male,cisgender,wolf,gb,atheist,disagree,agree,neutral,strongly_agree,agree,neutral,strongly_disagree,disagree,agree,disagree,disagree,strongly_disagree,disagree,slightly_agree,neutral,strongly_agree,slightly_agree,slightly_agree,slightly_agree,disagree,slightly_disagree,strongly_disagree,disagree,disagree
33,male,cisgender,feral,dk,atheist,disagree,strongly_agree,disagree,strongly_agree,slightly_agree,neutral,strongly_disagree,disagree,strongly_agree,disagree,slightly_agree,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,neutral,slightly_disagree,slightly_agree,slightly_agree,dont_know,slightly_agree,slightly_disagree,disagree
29,mostly_male,cisgender,tiger,ca-us,agnostic,disagree,agree,strongly_disagree,slightly_disagree,agree,agree,strongly_disagree,disagree,agree,strongly_disagree,dont_know,strongly_disagree,neutral,disagree,slightly_disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,dont_know,slightly_disagree,strongly_disagree,disagree
29,somewhat_male,complicated,domesticcat,oh-us,agnostic,slightly_agree,neutral,strongly_disagree,agree,strongly_agree,slightly_agree,slightly_disagree,strongly_disagree,strongly_agree,strongly_disagree,slightly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,agree,strongly_disagree,neutral,strongly_agree,neutral,agree,disagree,strongly_disagree,strongly_disagree
19,male,cisgender,raccoon,il-us,atheist,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,disagree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree,neutral,strongly_agree,agree,neutral,strongly_agree,agree,slightly_agree,disagree
21,mostly_male,cisgender,wolf,ca,agnostic,strongly_disagree,slightly_disagree,strongly_disagree,agree,slightly_agree,slightly_agree,slightly_agree,strongly_agree,slightly_agree,disagree,slightly_disagree,strongly_disagree,neutral,neutral,slightly_agree,strongly_agree,neutral,slightly_agree,disagree,slightly_agree,agree,strongly_disagree,strongly_disagree,slightly_disagree
17,male,cisgender,otherdog,la-us,christian_catholic,strongly_disagree,strongly_disagree,disagree,slightly_agree,strongly_agree,disagree,strongly_disagree,agree,agree,strongly_disagree,strongly_agree,strongly_disagree,agree,agree,strongly_agree,dont_know,dont_know,dont_know,slightly_disagree,strongly_disagree,dont_know,dont_know,slightly_agree,neutral
41,female,complicated,rabbit,wa-us,other,strongly_disagree,neutral,disagree,slightly_disagree,slightly_agree,neutral,strongly_disagree,strongly_disagree,disagree,strongly_disagree,neutral,strongly_disagree,disagree,disagree,slightly_agree,slightly_agree,slightly_disagree,neutral,slightly_agree,slightly_agree,slightly_agree,disagree,strongly_disagree,disagree
29,male,cisgender,rabbit,nc-us,atheist,neutral,agree,neutral,slightly_disagree,strongly_disagree,slightly_agree,disagree,slightly_agree,agree,strongly_disagree,dont_know,strongly_disagree,disagree,slightly_agree,agree,agree,agree,strongly_agree,agree,neutral,disagree,neutral,agree,slightly_disagree
54,male,cisgender,redfox,wi-us,atheist,disagree,agree,disagree,agree,disagree,neutral,disagree,disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,slightly_disagree,disagree,disagree,disagree,disagree,disagree,disagree
26,male,cisgender,dragon,ky-us,agnostic,disagree,slightly_disagree,strongly_disagree,slightly_agree,slightly_agree,agree,disagree,agree,slightly_disagree,strongly_disagree,agree,strongly_disagree,disagree,agree,disagree,agree,agree,agree,agree,slightly_agree,strongly_disagree,slightly_disagree,disagree,strongly_disagree
29,none,complicated,dragon,co-us,other,strongly_disagree,slightly_disagree,strongly_disagree,slightly_disagree,agree,dont_know,strongly_disagree,disagree,agree,strongly_disagree,disagree,neutral,disagree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,strongly_agree,strongly_agree,slightly_disagree,slightly_agree,strongly_disagree,disagree
18,male,cisgender,redpanda,au,agnostic,disagree,slightly_agree,strongly_disagree,agree,agree,strongly_agree,disagree,slightly_agree,agree,disagree,disagree,strongly_disagree,slightly_agree,slightly_agree,agree,disagree,disagree,slightly_disagree,slightly_agree,slightly_disagree,strongly_agree,agree,neutral,disagree
32,male,cisgender,domesticcat,ca-us,other,strongly_disagree,dont_know,disagree,slightly_agree,agree,strongly_agree,disagree,slightly_agree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,slightly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,neutral,neutral,disagree
23,male,cisgender,wolf,ma-us,atheist,strongly_disagree,neutral,strongly_disagree,strongly_agree,disagree,slightly_agree,disagree,neutral,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,dont_know,agree,strongly_agree,strongly_agree,strongly_disagree,slightly_agree,slightly_agree,strongly_disagree,strongly_disagree
21,male,cisgender,wolf,ma-us,atheist,disagree,agree,disagree,strongly_agree,agree,neutral,slightly_disagree,neutral,disagree,strongly_disagree,disagree,disagree,disagree,slightly_agree,agree,agree,neutral,agree,strongly_agree,slightly_agree,dont_know,slightly_disagree,strongly_disagree,strongly_disagree
21,somewhat_female,transgender,leopard,ca,atheist,slightly_disagree,agree,agree,agree,neutral,agree,disagree,slightly_agree,agree,slightly_disagree,slightly_agree,disagree,disagree,slightly_agree,slightly_agree,slightly_agree,slightly_agree,slightly_agree,slightly_disagree,dont_know,dont_know,disagree,dont_know,slightly_disagree
17,male,transgender,germanshepherd,ca-us,christian_protestant,disagree,strongly_disagree,disagree,strongly_disagree,disagree,disagree,strongly_disagree,slightly_agree,slightly_disagree,strongly_disagree,agree,neutral,neutral,slightly_disagree,disagree,dont_know,disagree,agree,agree,slightly_disagree,dont_know,neutral,slightly_disagree,slightly_disagree
19,male,cisgender,coyote,us,agnostic,slightly_agree,disagree,agree,agree,agree,slightly_agree,strongly_disagree,slightly_agree,disagree,slightly_disagree,strongly_agree,disagree,slightly_disagree,slightly_disagree,disagree,strongly_disagree,disagree,neutral,slightly_agree,slightly_disagree,slightly_disagree,strongly_disagree,disagree,slightly_disagree
27,mostly_male,cisgender,othercanine,us,atheist,strongly_agree,agree,slightly_agree,strongly_agree,slightly_agree,slightly_agree,neutral,slightly_agree,strongly_agree,disagree,neutral,strongly_disagree,disagree,agree,agree,agree,slightly_disagree,strongly_disagree,agree,neutral,slightly_agree,disagree,slightly_disagree,slightly_disagree
35,somewhat_male,cisgender,redfox,wa-us,jewish,strongly_disagree,slightly_agree,slightly_disagree,slightly_disagree,strongly_agree,slightly_disagree,strongly_disagree,strongly_disagree,slightly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,slightly_agree,slightly_disagree,strongly_agree,disagree,slightly_agree,slightly_disagree,slightly_disagree,agree,strongly_disagree,disagree,strongly_disagree
29,none,complicated,rabbit,jo,atheist,strongly_disagree,strongly_agree,slightly_disagree,slightly_agree,neutral,slightly_agree,strongly_disagree,slightly_disagree,slightly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,neutral,strongly_agree,agree,neutral,slightly_agree,slightly_agree,neutral,strongly_disagree
31,male,cisgender,dragon,ca,atheist,agree,agree,neutral,slightly_agree,slightly_agree,slightly_agree,disagree,slightly_agree,strongly_agree,strongly_disagree,slightly_agree,strongly_disagree,disagree,neutral,agree,agree,agree,agree,slightly_agree,slightly_disagree,agree,slightly_disagree,slightly_agree,disagree
16,male,cisgender,dragon,au,agnostic,disagree,neutral,slightly_disagree,agree,slightly_agree,slightly_agree,disagree,agree,slightly_agree,strongly_disagree,agree,strongly_disagree,slightly_agree,slightly_agree,neutral,slightly_agree,slightly_agree,strongly_agree,strongly_agree,agree,slightly_agree,strongly_disagree,disagree,strongly_disagree
31,somewhat_male,cisgender,coyote,de,atheist,agree,agree,disagree,slightly_agree,slightly_agree,slightly_agree,strongly_disagree,slightly_disagree,strongly_agree,strongly_disagree,neutral,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,slightly_agree,agree,strongly_disagree,slightly_agree,disagree
33,none,complicated,dragon,wa-us,agnostic,strongly_disagree,neutral,disagree,slightly_disagree,slightly_agree,slightly_disagree,strongly_disagree,agree,slightly_agree,strongly_disagree,neutral,strongly_disagree,strongly_disagree,disagree,neutral,dont_know,neutral,slightly_agree,slightly_agree,dont_know,disagree,dont_know,strongly_disagree,slightly_disagree
32,male,cisgender,otherungulate,ch,atheist,slightly_agree,agree,slightly_disagree,agree,slightly_agree,slightly_disagree,slightly_agree,disagree,slightly_agree,slightly_agree,slightly_disagree,disagree,disagree,slightly_agree,neutral,agree,slightly_agree,slightly_agree,agree,strongly_agree,slightly_agree,slightly_agree,disagree,disagree
23,mostly_male,cisgender,redfox,il-us,pagan,agree,strongly_agree,strongly_disagree,slightly_agree,strongly_agree,slightly_disagree,strongly_disagree,disagree,agree,slightly_agree,strongly_agree,strongly_disagree,disagree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,strongly_agree,disagree,strongly_disagree,slightly_agree,strongly_disagree,strongly_disagree
19,mostly_female,transgender,otherdog,gb,other,slightly_agree,slightly_disagree,strongly_disagree,strongly_disagree,disagree,disagree,slightly_agree,slightly_disagree,agree,strongly_disagree,strongly_agree,disagree,disagree,slightly_agree,slightly_agree,strongly_agree,strongly_disagree,agree,strongly_agree,neutral,slightly_agree,slightly_agree,agree,slightly_agree
27,male,cisgender,jackal,ma-us,atheist,slightly_disagree,agree,strongly_disagree,disagree,agree,neutral,disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_disagree,slightly_disagree,strongly_agree,strongly_agree,disagree,disagree,disagree,slightly_agree,strongly_disagree
20,male,cisgender,wolf,ca-us,christian_catholic,disagree,strongly_disagree,slightly_disagree,slightly_agree,neutral,strongly_agree,slightly_agree,slightly_agree,slightly_disagree,slightly_agree,slightly_disagree,agree,disagree,strongly_disagree,slightly_disagree,neutral,agree,strongly_agree,slightly_disagree,agree,slightly_disagree,disagree,disagree,slightly_disagree
33,male,cisgender,wolf,au,other,disagree,slightly_agree,strongly_disagree,slightly_agree,slightly_agree,slightly_disagree,strongly_disagree,disagree,agree,slightly_disagree,slightly_agree,strongly_disagree,disagree,slightly_agree,slightly_disagree,strongly_agree,slightly_agree,agree,strongly_agree,slightly_agree,disagree,neutral,disagree,slightly_disagree
16,male,cisgender,othercanine,nl,atheist,slightly_disagree,slightly_agree,strongly_disagree,agree,slightly_agree,strongly_disagree,strongly_disagree,slightly_agree,agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,agree,dont_know,agree,agree,strongly_agree,dont_know,agree,disagree,slightly_disagree,neutral
20,somewhat_male,cisgender,riverotter,ut-us,atheist,slightly_agree,strongly_agree,disagree,strongly_agree,agree,dont_know,strongly_disagree,strongly_disagree,agree,disagree,agree,strongly_disagree,neutral,strongly_disagree,agree,strongly_agree,agree,disagree,slightly_disagree,slightly_agree,agree,strongly_disagree,strongly_disagree,disagree
56,male,cisgender,rabbit,tn-us,agnostic,strongly_disagree,dont_know,strongly_disagree,strongly_agree,neutral,agree,disagree,strongly_disagree,agree,strongly_disagree,agree,agree,strongly_disagree,strongly_agree,neutral,neutral,agree,dont_know,disagree,agree,dont_know,strongly_disagree,slightly_agree,disagree
30,mostly_male,cisgender,otherdog,fl-us,atheist,agree,agree,neutral,agree,agree,slightly_agree,disagree,neutral,slightly_agree,strongly_disagree,neutral,disagree,disagree,neutral,agree,slightly_agree,neutral,slightly_disagree,slightly_agree,slightly_disagree,slightly_disagree,slightly_disagree,disagree,disagree
26,male,cisgender,riverotter,ca-us,atheist,slightly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,slightly_disagree,strongly_disagree,slightly_agree,agree,disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,agree,disagree,strongly_disagree,slightly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,agree
26,somewhat_female,cisgender,dragon,il-us,other,strongly_disagree,disagree,slightly_agree,slightly_disagree,slightly_agree,strongly_disagree,strongly_disagree,strongly_disagree,slightly_disagree,strongly_disagree,agree,strongly_disagree,disagree,slightly_agree,agree,strongly_agree,disagree,slightly_agree,strongly_agree,slightly_disagree,disagree,strongly_disagree,disagree,strongly_disagree
29,male,cisgender,kangaroo,al-us,christian_protestant,strongly_disagree,strongly_disagree,strongly_disagree,slightly_agree,neutral,slightly_agree,strongly_disagree,slightly_agree,agree,disagree,neutral,neutral,neutral,disagree,slightly_agree,strongly_agree,slightly_agree,strongly_agree,neutral,slightly_disagree,slightly_disagree,disagree,slightly_disagree,disagree
31,mostly_male,cisgender,kangaroo,ny-us,christian_protestant,disagree,disagree,slightly_disagree,agree,neutral,slightly_disagree,disagree,neutral,slightly_agree,strongly_disagree,slightly_agree,disagree,slightly_disagree,disagree,slightly_agree,dont_know,slightly_disagree,slightly_agree,agree,agree,slightly_agree,slightly_disagree,neutral,slightly_disagree
32,male,cisgender,rat,gb,agnostic,disagree,neutral,slightly_agree,slightly_agree,strongly_disagree,disagree,strongly_disagree,slightly_agree,slightly_agree,strongly_disagree,slightly_disagree,strongly_disagree,disagree,slightly_agree,slightly_agree,agree,agree,agree,strongly_agree,neutral,slightly_agree,disagree,slightly_agree,slightly_agree
20,male,cisgender,dragon,ca-us,atheist,strongly_agree,strongly_agree,strongly_disagree,slightly_agree,slightly_agree,slightly_agree,neutral,disagree,strongly_agree,strongly_disagree,slightly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,agree,slightly_agree,neutral,strongly_agree,slightly_disagree,slightly_disagree,strongly_disagree
28,male,cisgender,otherfox,ca-us,other,disagree,neutral,disagree,neutral,neutral,disagree,strongly_disagree,strongly_agree,agree,strongly_disagree,disagree,strongly_disagree,disagree,neutral,agree,dont_know,agree,agree,agree,strongly_disagree,disagree,strongly_disagree,neutral,dont_know
22,male,cisgender,deer,za,atheist,neutral,agree,strongly_disagree,slightly_disagree,slightly_agree,strongly_agree,slightly_agree,agree,strongly_agree,disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,slightly_disagree,neutral,disagree,strongly_disagree,strongly_agree,agree,strongly_agree,slightly_disagree
32,male,cisgender,otherdog,co-us,atheist,agree,slightly_agree,slightly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,slightly_agree,agree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree,neutral,slightly_disagree,strongly_disagree,neutral,agree,strongly_disagree,strongly_disagree,strongly_disagree
19,male,cisgender,bat,mi-us,atheist,strongly_agree,agree,neutral,agree,strongly_disagree,disagree,strongly_disagree,slightly_agree,agree,disagree,neutral,strongly_disagree,disagree,slightly_disagree,agree,neutral,neutral,agree,agree,neutral,agree,neutral,disagree,disagree
41,male,cisgender,wolf,tx-us,other,strongly_disagree,disagree,slightly_disagree,slightly_agree,strongly_disagree,disagree,strongly_disagree,agree,slightly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,neutral,disagree
22,male,cisgender,coyote,id-us,other,strongly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,slightly_disagree,slightly_agree,neutral,slightly_disagree,slightly_agree,slightly_disagree,slightly_disagree,disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,slightly_agree,neutral,strongly_disagree,slightly_disagree,slightly_disagree,strongly_agree,neutral
20,male,cisgender,polymorphic,ny-us,agnostic,strongly_disagree,neutral,slightly_disagree,neutral,agree,slightly_agree,strongly_disagree,slightly_disagree,slightly_agree,strongly_disagree,slightly_agree,disagree,neutral,neutral,neutral,slightly_agree,neutral,strongly_agree,agree,neutral,slightly_agree,disagree,dont_know,disagree
24,male,cisgender,other,ny-us,atheist,slightly_agree,slightly_agree,strongly_disagree,slightly_disagree,disagree,agree,disagree,disagree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,neutral,agree,strongly_agree,agree,slightly_agree,neutral,slightly_disagree,slightly_disagree,strongly_disagree,agree,strongly_disagree
22,male,cisgender,redfox,ny-us,atheist,slightly_disagree,strongly_agree,disagree,agree,slightly_disagree,slightly_disagree,disagree,slightly_agree,strongly_agree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,neutral,agree,strongly_agree,neutral,neutral,slightly_agree,agree,agree,slightly_agree,slightly_disagree,strongly_disagree
